Openness,infogain,Conscientiousness,infogain,Extraversion,infogain,Agreeableness,infogain,Neuroticism,infogain
って,8.8306210886957e-06,見つかる,7.801406468721517e-06,崩れ落ちる,9.424771692634337e-06,やく,8.878570083470372e-06,かっこいい,9.749467601127826e-06
は,8.733303166974515e-06,による,7.750484972368632e-06,ただいま,9.268594714617606e-06,守る,8.819839864226964e-06,うわ,9.699361226744863e-06
面白い,8.719476853880082e-06,ひめる,7.717994686684548e-06,´,9.244503456407038e-06,ヾ,8.816262875410708e-06,えらべる,9.593745310176871e-06
くださる,8.715618231680544e-06,はじめて,7.64705075062544e-06,手堅い,9.243936470060277e-06,煙る,8.765565212454085e-06,守る,9.58077639456878e-06
描ける,8.642031547045903e-06,ぜんぜん,7.634131049982784e-06,送れる,9.181809274116937e-06,んで,8.737025612659544e-06,おる,9.296264590785697e-06
へ,8.591707426952588e-06,わかる,7.603909884190685e-06,組み合わせる,9.156302970492192e-06,組み合わせる,8.723985946090806e-06,いや,9.27275643702874e-06
止める,8.54501447733469e-06,送れる,7.592151951452131e-06,バン,9.13690529213973e-06,では,8.698034256404696e-06,反,9.160421775789018e-06
貯める,8.515116890150942e-06,いろいろ,7.511690227390844e-06,萌える,9.044399401636483e-06,もう,8.528767900251033e-06,＼,9.117754172005554e-06
ちる,8.501672771776825e-06,き,7.496916778260143e-06,ためる,8.993154005931814e-06,やっぱ,8.5032851049327e-06,べ,9.115572901841063e-06
よむ,8.498491735342562e-06,いたす,7.430956019960355e-06,はてな,8.953146499623976e-06,ためる,8.461504607870651e-06,削れる,9.014003027774109e-06
お疲れさま,8.456313512872349e-06,まく,7.429102744205274e-06,そこそこ,8.929533721224736e-06,答える,8.442569259248245e-06,他,8.89899482747758e-06
はじまる,8.308391236555579e-06,かる,7.397328835923034e-06,えらべる,8.876867088947193e-06,可,8.01574215025802e-06,待ち望む,8.636780812976141e-06
副,8.2917905597224e-06,やく,7.370427203556851e-06,あんまり,8.787110065022752e-06,良い,7.988255144808498e-06,賢い,8.59750093895606e-06
ござる,8.269496741375448e-06,なく,7.348303526000244e-06,．,8.70811607900368e-06,よむ,7.961448346138766e-06,苦しむ,8.51254362943532e-06
多分,8.260682277883014e-06,ぽい,7.310328166698632e-06,伸びる,8.69356572252844e-06,決まる,7.868339695127347e-06,とても,8.494825195382028e-06
■,8.2482829233399e-06,肥える,7.223942487311064e-06,女,8.64770000108539e-06,迷う,7.863526106599572e-06,あさる,8.461866025211151e-06
やく,8.176873021348285e-06,すごい,7.2160432809109665e-06,握る,8.58348855636848e-06,お疲れさま,7.847561968588046e-06,うまい,8.450392967374043e-06
おどる,8.135452811419697e-06,ｐ,7.177520301882012e-06,痛い,8.522473662564423e-06,、,7.6207318326915185e-06,ためる,8.427994430237895e-06
